,Date,Ranking,quantiles
21,2022-06-22,877.9359586521371,0.7361111111111112
18,2022-05-19,892.9177990987135,0.75
13,2022-06-14,931.9412967340837,0.7638888888888888
24,2022-05-25,933.325654521056,0.7777777777777778
5,2022-06-06,934.2699938016605,0.7916666666666666
22,2022-04-24,976.5238659370046,0.8055555555555556
12,2022-06-13,984.9591363391515,0.8194444444444444
3,2022-06-04,994.0167720414139,0.8333333333333334
11,2022-05-12,1003.5559533272638,0.8472222222222222
7,2022-04-09,1053.27087798929,0.8611111111111112
13,2022-05-14,1069.3724680648331,0.875
22,2022-05-23,1108.2972532925942,0.8888888888888888
15,2022-06-16,1123.5291009217979,0.9027777777777778
8,2022-05-09,1203.3099132216707,0.9166666666666666
23,2022-05-24,1212.7863824913838,0.9305555555555556
1,2022-05-02,1235.7480572301674,0.9444444444444444
11,2022-04-13,1310.7201659484783,0.9583333333333334
4,2022-06-05,1544.309968019596,0.9722222222222222
21,2022-05-22,1959.1270797879672,0.9861111111111112
6,2022-05-07,2044.2821035912857,1.0
