timestampx,vv1m,dv1m,vmax1m,dmax1m,ta,hr,pres,prec1m,inso,vis
2022-04-01 00:00:00,4.9,53,5.2,54,5.4,42,769.1,0.0,0.0,20000.0
2022-04-01 00:01:00,4.6,50,5.3,53,5.4,41,769.1,0.0,,
2022-04-01 00:02:00,4.9,51,5.6,50,5.4,40,769.1,0.0,,
2022-04-01 00:03:00,4.7,52,5.2,51,5.5,40,769.1,0.0,,
2022-04-01 00:04:00,4.1,49,5.0,59,5.5,40,769.1,0.0,,
2022-04-01 00:05:00,4.7,52,5.5,57,5.5,41,769.1,0.0,,
2022-04-01 00:06:00,5.0,52,6.0,56,5.5,40,769.1,0.0,,
2022-04-01 00:07:00,5.2,53,5.7,57,5.5,41,769.1,0.0,,
2022-04-01 00:08:00,5.0,52,5.4,53,5.5,40,769.1,0.0,,
2022-04-01 00:09:00,4.7,53,5.3,53,5.5,40,769.1,0.0,,
2022-04-01 00:10:00,4.4,51,5.0,51,5.5,40,769.1,0.0,0.0,20000.0
2022-04-01 00:11:00,3.6,36,4.6,40,5.5,40,769.1,0.0,,
2022-04-01 00:12:00,3.7,38,5.0,32,5.6,40,769.1,0.0,,
2022-04-01 00:13:00,3.5,44,4.6,54,5.6,40,769.1,0.0,,
2022-04-01 00:14:00,4.0,39,5.2,40,5.6,39,769.1,0.0,,
2022-04-01 00:15:00,4.3,35,5.4,43,5.6,38,769.1,0.0,,
2022-04-01 00:16:00,4.4,36,5.7,29,5.7,39,769.1,0.0,,
2022-04-01 00:17:00,4.1,38,5.3,40,5.7,39,769.1,0.0,,
2022-04-01 00:18:00,3.9,38,5.1,51,5.7,38,769.1,0.0,,
2022-04-01 00:19:00,4.2,39,5.2,22,5.8,39,769.1,0.0,,
2022-04-01 00:20:00,4.1,37,5.5,23,5.8,38,769.1,0.0,0.0,20000.0
2022-04-01 00:21:00,3.8,43,5.3,31,5.8,39,769.1,0.0,,
2022-04-01 00:22:00,3.8,46,5.1,48,5.8,39,769.1,0.0,,
2022-04-01 00:23:00,3.3,43,4.6,43,5.8,39,769.0,0.0,,
2022-04-01 00:24:00,3.7,40,5.5,43,5.7,39,769.0,0.0,,
2022-04-01 00:25:00,4.6,38,6.0,30,5.7,38,769.0,0.0,,
2022-04-01 00:26:00,4.7,41,6.1,32,5.8,37,769.0,0.0,,
2022-04-01 00:27:00,5.9,38,7.8,28,5.8,35,769.0,0.0,,
2022-04-01 00:28:00,5.4,37,6.9,38,6.0,34,769.0,0.0,,
2022-04-01 00:29:00,5.5,38,7.7,37,6.1,34,769.0,0.0,,
2022-04-01 00:30:00,5.7,37,6.7,33,6.2,33,769.0,0.0,0.0,20000.0
2022-04-01 00:31:00,6.1,37,7.2,45,6.3,33,768.9,0.0,,
2022-04-01 00:32:00,6.2,36,7.6,37,6.3,33,768.9,0.0,,
2022-04-01 00:33:00,5.8,41,8.0,43,6.4,33,768.9,0.0,,
2022-04-01 00:34:00,6.0,40,7.4,43,6.4,33,768.9,0.0,,
2022-04-01 00:35:00,6.5,38,8.0,43,6.5,32,768.9,0.0,,
2022-04-01 00:36:00,6.5,39,8.1,27,6.5,32,768.9,0.0,,
2022-04-01 00:37:00,5.7,36,6.8,37,6.6,32,768.9,0.0,,
2022-04-01 00:38:00,4.6,38,6.4,31,6.6,33,768.9,0.0,,
2022-04-01 00:39:00,5.0,42,6.3,33,6.6,32,768.9,0.0,,
2022-04-01 00:40:00,5.0,42,6.2,54,6.6,32,768.9,0.0,0.0,20000.0
2022-04-01 00:41:00,4.6,43,5.8,28,6.6,32,768.8,0.0,,
2022-04-01 00:42:00,4.3,42,5.5,47,6.6,32,768.8,0.0,,
2022-04-01 00:43:00,4.4,46,6.9,64,6.6,33,768.9,0.0,,
2022-04-01 00:44:00,4.6,51,6.8,58,6.5,33,768.9,0.0,,
2022-04-01 00:45:00,5.3,54,6.6,65,6.5,33,768.9,0.0,,
2022-04-01 00:46:00,4.3,46,5.8,54,6.5,34,768.9,0.0,,
2022-04-01 00:47:00,4.0,49,5.8,58,6.5,35,768.9,0.0,,
2022-04-01 00:48:00,3.4,48,4.4,54,6.4,35,768.8,0.0,,
2022-04-01 00:49:00,3.9,44,5.9,56,6.4,34,768.8,0.0,,
2022-04-01 00:50:00,3.9,48,5.3,55,6.3,34,768.8,0.0,0.0,20000.0
2022-04-01 00:51:00,3.8,45,5.3,35,6.3,34,768.8,0.0,,
2022-04-01 00:52:00,4.1,47,5.0,36,6.3,34,768.8,0.0,,
2022-04-01 00:53:00,4.3,40,6.2,35,6.3,34,768.8,0.0,,
2022-04-01 00:54:00,4.5,41,6.6,29,6.3,34,768.8,0.0,,
2022-04-01 00:55:00,4.6,42,6.3,33,6.3,34,768.8,0.0,,
2022-04-01 00:56:00,4.3,46,5.9,31,6.3,34,768.7,0.0,,
2022-04-01 00:57:00,4.0,42,6.1,38,6.3,34,768.7,0.0,,
2022-04-01 00:58:00,4.2,47,5.9,52,6.3,34,768.7,0.0,,
2022-04-01 00:59:00,4.4,43,5.5,51,6.3,33,768.7,0.0,,
2022-04-01 01:00:00,4.2,45,5.9,42,6.3,33,768.7,0.0,0.0,20000.0
2022-04-01 01:01:00,4.9,40,6.4,47,6.3,33,768.7,0.0,,
2022-04-01 01:02:00,5.4,40,7.1,26,6.3,33,768.7,0.0,,
2022-04-01 01:03:00,5.1,39,6.7,41,6.4,33,768.7,0.0,,
2022-04-01 01:04:00,5.0,38,6.9,35,6.4,33,768.7,0.0,,
2022-04-01 01:05:00,5.6,37,7.3,34,6.4,33,768.7,0.0,,
2022-04-01 01:06:00,6.0,39,7.2,41,6.4,32,768.7,0.0,,
2022-04-01 01:07:00,5.6,39,6.7,47,6.5,33,768.7,0.0,,
2022-04-01 01:08:00,5.1,38,6.1,47,6.5,33,768.7,0.0,,
2022-04-01 01:09:00,5.1,32,6.3,26,6.4,33,768.7,0.0,,
2022-04-01 01:10:00,5.6,27,6.0,24,6.4,34,768.7,0.0,0.0,20000.0
2022-04-01 01:11:00,5.2,25,5.9,25,6.3,34,768.7,0.0,,
2022-04-01 01:12:00,5.1,26,5.5,22,6.2,34,768.7,0.0,,
2022-04-01 01:13:00,5.4,22,5.8,24,6.1,35,768.7,0.0,,
2022-04-01 01:14:00,5.3,19,5.4,19,5.9,36,768.7,0.0,,
2022-04-01 01:15:00,5.2,19,5.4,18,5.8,36,768.7,0.0,,
